"geneSymbol"
"ADAMTSL1"
"SLC35D3"
"PLCB1"
"ZNF385C"
"CACHD1"
"PGM5"
"WIF1"
"FZD10"
"EIF4E1B"
"ZNF385C"
"SP5"
"AMHR2"
"OSR2"
"ALPL"
"GAD1"
"BAMBI"
"NXPH3"
"AXIN2"
"DLX3"
"BMP4"
"PDE11A"
"NET1"
"ADGRG2"
"ADAM12"
"CLCN2"
"EPHA3"
"DLX4"
"ADRB3"
"RSPO1"
"GALNT15"
"ASCL4"
"ZNRF3"
"CYB5R2"
"TGFA"
"NOTUM"
"IL20RA"
"MKX"
"PSAT1"
"KCNH5"
"DKK1"
"LRP4"
"RNF43"
"HOXD8"
"SLC1A3"
"GPR179"
"RUNX2"
"EMX2"
"OCA2"
"P2RX6"
"RASIP1"
"TNC"
"SP6"
"ZNF804B"
"FBXL7"
"PYGL"
"DKK2"
"CD82"
"SLC17A9"
"KCNQ1"
"MSX2"
"ACKR3"
"FOXA1"
"CNGA3"
"PCSK9"
"FGF20"
"CHRND"
"BHLHE40"
"WNT11"
"SLC7A8"
"NTSR1"
"GABRG3"
"EDARADD"
"COL5A1"
"IFNLR1"
"WNT16"
"EPHA7"
"FGF8"
"OPRD1"
"SHOX2"
"PTPRT"
"HOXD9"
"SFN"
"FZD6"
"ATOH8"
"PTGS1"
"LHX6"
"HOXD13"
"KCNJ5"
"ECEL1"
"ADAM19"
"PGC"
"SRD5A2"
"SLC13A2"
"SYK"
"MRGPRE"
"FGF18"
"LGR5"
"PPP1R16B"
"ARSI"
"TNFRSF11B"
"EPHA4"
"HOXD10"
"LTK"
"ISL1"
"LHX8"
"ATP8A1"
"SPRY2"
"NPNT"
"IFT57"
"CES1"
"TFAP2B"
"TH"
"SIAH3"
"RXFP3"
"GJA3"
"PIWIL4"
"SEMA3B"
"GABRE"
"MYO3B"
"CDC14A"
"GLT8D2"
"HOXD11"
"VIM"
"ALCAM"
"HS3ST3B1"
"CAPN13"
"ZMAT4"
"ITGA9"
"ASCL2"
"PAX3"
"ASCL5"
"CARD9"
"ADAMTS20"
"NTRK1"
"MAF"
"ZNF365"
"AQP3"
"ZNF503"
"GADD45A"
"NKX6-1"
"B3GNT9"
"GXYLT2"
"SLIT2"
"DDC"
"SORCS3"
"IL15RA"
"PRRX1"
"TNFRSF19"
"LINGO1"
"PROK1"
"CA11"
"ZIC2"
"FGFR2"
"NPPA"
"RSPO4"
"ADORA1"
"SH2D2A"
"NGF"
"EPPK1"
"HSPB1"
"SH3RF3"
"ROR2"
"APCDD1"
"LIF"
"ZIC5"
"GJD2"
"P4HA2"
"CLYBL"
"SDC1"
"PNMT"
"ZMAT4"
"HS3ST3A1"
"COLGALT2"
"HOXD12"
"CRABP2"
"CD44"
"DDR2"
"ONECUT2"
"ALK"
"ENTPD8"
"S100A6"
"EDN3"
"PLTP"
"AVPR2"
"HSD17B14"
"PCSK1"
"COLEC12"
"COL2A1"
"FAP"
"FBN1"
"ZNF648"
"PITX1"
"STC1"
"PCGF5"
"GALNT12"
"ZNF831"
"LEF1"
"ATP1A2"
"SSTR1"
"ASIC2"
"NAV2"
"CREB3L2"
"MMP2"
"KCNK3"
"COL13A1"
"INSRR"
"PRMT8"
"S100A16"
"MAF"
"FOXL2"
"CACNA1I"
"CRYZ"
"COL9A3"
"HOXD1"
"NRTN"
"FBLN1"
"SIX5"
"C10orf90"
"GALNT14"
"GPX8"
"KCNIP1"
"IL11RA"
"SERPINH1"
"F10"
"FZD7"
"S100A11"
"HECW1"
"SLC2A10"
"ARHGAP6"
"PDZRN3"
"ARHGAP4"
"PTPRH"
"FOXQ1"
"CCNO"
"RNF183"
"AHNAK"
"HK2"
"NFATC4"
"CHI3L1"
"PRRX2"
"EPHB6"
"ST6GAL2"
"ADGRV1"
"NFATC4"
"FGFRL1"
"CUBN"
"IRX5"
"EBF2"
"AGPAT2"
"MFAP4"
"CLU"
"SLFN11"
"RGR"
"CYP19A1"
"NRCAM"
"GLI3"
"TWIST2"
"NOTCH2"
"NUDT9P1"
"FBXO17"
"COL6A3"
"TRIP6"
"GLI3"
"PPP1R1B"
"EGR4"
"COL4A5"
"BMP2"
"FZD2"
"ZFP36L1"
"ZFP36L1"
"HAND2"
"PAPSS1"
"NOTCH2"
"CYTL1"
"KLK6"
"TMEFF2"
"APLNR"
"YAP1"
"TFAP2A"
"S100A4"
"PDGFA"
"RIN1"
"EN1"
"MFNG"
"ADGRG1"
"MEIS1"
"NR2F1"
"BMP7"
"RNF112"
"NR2F1"
"MAG"
"TGIF2"
"CDK15"
"RUNX3"
"ABCD2"
"RGL1"
"TAL2"
"PRSS33"
"CACNA1S"
"RUNX3"
"ANGPTL2"
"ALX4"
"GHRHR"
"APP"
"QPCT"
"ITGA8"
"NTN1"
"KCNK5"
"RTN4RL1"
"BHMT"
"HUNK"
"CACNA1A"
"DSP"
"OR5K1"
"TRPM3"
"EFNA5"
"MID1"
"CHST8"
"TRPV6"
"MPP1"
"SLC13A3"
"CHRM4"
"PTBP3"
"DRD1"
"CD226"
"TPH1"
