"geneSymbol"
"NET1"
"DLX3"
"FZD10"
"GALNT15"
"NXPH3"
"PGM5"
"PDE11A"
"EMX2"
"PYGL"
"AMHR2"
"RUNX2"
"NOTUM"
"GAD1"
"ACKR3"
"SP5"
"TNC"
"AXIN2"
"WIF1"
"LRP4"
"ADAMTSL1"
"EPHA3"
"PCSK9"
"DKK2"
"COL5A1"
"CNGA3"
"EPHA4"
"ALCAM"
"WNT16"
"SHOX2"
"EPHA7"
"IFT57"
"FBXL7"
"VIM"
"ADAM19"
"GABRE"
"HSPB1"
"ACSF2"
"CSPG4"
"CES1"
"PAX3"
"MAF"
"ZMAT4"
"TNFRSF19"
"ZMAT4"
"P4HA2"
"DDR2"
"AQP3"
"LEF1"
"MMP2"
"CRYZ"
"CRABP2"
"SERPINH1"
"ALK"
"FBN1"
"MAF"
"NAV2"
"MYC"
"AHNAK"
"GALNT14"
"LGALS1"
"COL6A3"
"DSP"
"CHRM4"
