"geneSymbol"
"TSC22D2"
"ADAMTSL1"
"SLC35D3"
"PLCB1"
"ZNF385C"
"CACHD1"
"PGM5"
"WIF1"
"FZD10"
"EIF4E1B"
"ZNF385C"
"SP5"
"AMHR2"
"OSR2"
"ALPL"
"NOD2"
"GAD1"
"BAMBI"
"NXPH3"
"AXIN2"
"DLX3"
"BMP4"
"PDE11A"
"NET1"
"ADGRG2"
"ADAM12"
"CLCN2"
"EPHA3"
"DLX4"
"ADRB3"
"ELMSAN1"
"RTKN"
"RSPO1"
"LSR"
"GALNT15"
"ZNRF3"
"CCDC36"
"CYB5R2"
"TGFA"
"NOTUM"
"IL20RA"
"MKX"
"PSAT1"
"KCNH5"
"DKK1"
"LRP4"
"RNF43"
"HOXD8"
"B3GNT2"
"SLC1A3"
"GPR179"
"RUNX2"
"EMX2"
"OCA2"
"P2RX6"
"FUT2"
"CABP4"
"RASIP1"
"TNC"
"ZNF804B"
"FBXL7"
"PYGL"
"DKK2"
"CD82"
"ERN1"
"SLC17A9"
"KCNQ1"
"PLCD4"
"MSX2"
"ACKR3"
"LGR6"
"FOXA1"
"CNGA3"
"FGF20"
"CHRND"
"C9orf3"
"BHLHE40"
"SLC20A2"
"WNT11"
"SLC7A8"
"GABRG3"
"EDARADD"
"COL5A1"
"IFNLR1"
"WNT16"
"EPHA7"
"OPRD1"
"SHOX2"
"PTPRT"
"HOXD9"
"QPRT"
"IL12RB2"
"FZD6"
"GALR1"
"ATOH8"
"ZFHX3"
"PTGS1"
"KCNJ5"
"ECEL1"
"ADAM19"
"SRD5A2"
"GRB10"
"SYK"
"LGR5"
"PPP1R16B"
"NUDT13"
"TNFRSF11B"
"EPHA4"
"CDKL1"
"LHX8"
"ATP8A1"
"SPRY2"
"CES1"
"TH"
"TCF7"
"ZDHHC2"
"PIWIL4"
"SEMA3B"
"GABRE"
"TST"
"SPTLC3"
"MYO3B"
"CDC14A"
"OR10AB1P"
"VIM"
"ALCAM"
"SGPP2"
"HS3ST3B1"
"CAPN13"
"ZMAT4"
"PCBD1"
"PAX3"
"AMPD2"
"ACSF2"
"SLC44A5"
"LAMB1"
"NTRK1"
"MAF"
"ZNF503"
"GADD45A"
"NKX6-1"
"B3GNT9"
"PRRX1"
"TNFRSF19"
"ZIC2"
"FGFR2"
"ROR2"
"PHLDB2"
"CSPG4"
"RFX2"
"ZIC5"
"CLYBL"
"COLGALT2"
"CRABP2"
"CHST11"
"CD44"
"DDR2"
"ALK"
"S100A6"
"EDN3"
"PLTP"
"SLC39A8"
"PLAGL1"
"HSD17B14"
"PLCB2"
"PCSK1"
"COLEC12"
"FAP"
"FBN1"
"ZC3HAV1"
"PCGF5"
"GALNT12"
"SHC1"
"SEMA7A"
"ASIC2"
"NAV2"
"MMP2"
