"geneSymbol"
"GABRA5"
"NPR3"
"TRIM58"
"ANO2"
"NRL"
"SLC1A7"
"GNB3"
"MYC"
"SLC13A4"
"CACNA1G"
"USP2"
"ZFPM2"
